sim_time_ms,event_type,priority,detail
0,RADAR_SWEEP,0,
0,TARGET_UPDATE_A,0,"TGT-A at (1125.0m, 5000.0m)"
0,TARGET_UPDATE_B,0,"TGT-B at (2106.0m, 2106.0m)"
500,TARGET_UPDATE_A,0,"TGT-A at (1250.0m, 5000.0m)"
500,TARGET_UPDATE_B,0,"TGT-B at (2212.0m, 2212.0m)"
1000,TARGET_UPDATE_A,0,"TGT-A at (1375.0m, 5000.0m)"
1000,TARGET_UPDATE_B,0,"TGT-B at (2318.0m, 2318.0m)"
1500,TARGET_UPDATE_A,0,"TGT-A at (1500.0m, 5000.0m)"
1500,TARGET_UPDATE_B,0,"TGT-B at (2424.0m, 2424.0m)"
2000,TARGET_UPDATE_A,0,"TGT-A at (1625.0m, 5000.0m)"
2000,TARGET_UPDATE_B,0,"TGT-B at (2530.0m, 2530.0m)"
2000,RADAR_SWEEP,0,
2500,TARGET_UPDATE_B,0,"TGT-B at (2636.0m, 2636.0m)"
2500,TARGET_UPDATE_A,0,"TGT-A at (1750.0m, 5000.0m)"
3000,TARGET_UPDATE_B,0,"TGT-B at (2742.0m, 2742.0m)"
3000,TARGET_UPDATE_A,0,"TGT-A at (1875.0m, 5000.0m)"
3500,TARGET_UPDATE_B,0,"TGT-B at (2848.0m, 2848.0m)"
3500,TARGET_UPDATE_A,0,"TGT-A at (2000.0m, 5000.0m)"
4000,TARGET_UPDATE_B,0,"TGT-B at (2954.0m, 2954.0m)"
4000,TARGET_UPDATE_A,0,"TGT-A at (2125.0m, 5000.0m)"
4000,RADAR_SWEEP,0,
4500,TARGET_UPDATE_A,0,"TGT-A at (2250.0m, 5000.0m)"
4500,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 3060.0m)"
5000,TARGET_MANEUVER,-1,TGT-B turns north
5000,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 3210.0m)"
5000,TARGET_UPDATE_A,0,"TGT-A at (2375.0m, 5000.0m)"
5500,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 3360.0m)"
5500,TARGET_UPDATE_A,0,"TGT-A at (2500.0m, 5000.0m)"
6000,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 3510.0m)"
6000,TARGET_UPDATE_A,0,"TGT-A at (2625.0m, 5000.0m)"
6000,RADAR_SWEEP,0,
6500,TARGET_UPDATE_A,0,"TGT-A at (2750.0m, 5000.0m)"
6500,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 3660.0m)"
7000,TARGET_UPDATE_A,0,"TGT-A at (2875.0m, 5000.0m)"
7000,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 3810.0m)"
7500,TARGET_UPDATE_A,0,"TGT-A at (3000.0m, 5000.0m)"
7500,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 3960.0m)"
8000,TARGET_UPDATE_A,0,"TGT-A at (3125.0m, 5000.0m)"
8000,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 4110.0m)"
8000,RADAR_SWEEP,0,
8500,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 4260.0m)"
8500,TARGET_UPDATE_A,0,"TGT-A at (3250.0m, 5000.0m)"
9000,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 4410.0m)"
9000,TARGET_UPDATE_A,0,"TGT-A at (3375.0m, 5000.0m)"
9500,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 4560.0m)"
9500,TARGET_UPDATE_A,0,"TGT-A at (3500.0m, 5000.0m)"
10000,TARGET_UPDATE_B,0,"TGT-B at (3060.0m, 4710.0m)"
10000,TARGET_UPDATE_A,0,"TGT-A at (3625.0m, 5000.0m)"
10000,RADAR_SWEEP,0,
